,Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Spent,Total_Accept,Living_With,Children,Family_Size
1,2,0.49705309077408594,0.38383838383838387,0.009581881533101045,0.014084507042253521,0.023346303501945526,0.0425531914893617,0.034482758620689655,0.08695652173913043,0.3333333333333333,0.09090909090909091,0.1111111111111111,0.15384615384615385,0.21052631578947367,0,0,0,0,0,0,0,0.8076923076923078,0.01470588235294118,0,1,2,0.5
3,2,0.26851679970298875,0.26262626262626265,0.009581881533101045,0.056338028169014086,0.07782101167315175,0.2127659574468085,0.10344827586206896,0.07246376811594203,0.3333333333333333,0.18181818181818182,0.0,0.3076923076923077,0.2631578947368421,0,0,0,0,0,0,0,0.23076923076923073,0.03208556149732621,0,2,1,0.5
4,4,0.6356854464451458,0.9494949494949496,0.15069686411149827,0.6056338028169014,0.45914396887159536,0.9787234042553191,0.9310344827586207,0.21739130434782608,0.8333333333333333,0.4545454545454546,0.3333333333333333,0.46153846153846156,0.21052631578947367,0,0,0,0,0,0,0,0.28846153846153844,0.2787433155080214,0,2,1,0.5
7,4,0.34750324856135145,0.32323232323232326,0.06620209059233449,0.14084507042253522,0.2178988326848249,0.06382978723404255,0.034482758620689655,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.0,0.3076923076923077,0.3684210526315789,0,0,0,0,0,0,0,0.21153846153846156,0.10962566844919788,0,2,1,0.5
8,4,0.31150222758492674,0.19191919191919193,0.012195121951219513,0.0,0.0933852140077821,0.06382978723404255,0.10344827586206896,0.028985507246376812,0.16666666666666666,0.2727272727272727,0.0,0.15384615384615385,0.42105263157894735,0,0,0,0,0,0,1,0.42307692307692313,0.02740641711229947,1,2,1,0.5
9,4,0.024897902357527396,0.686868686868687,0.024390243902439025,0.0,0.023346303501945526,0.02127659574468085,0.034482758620689655,0.18840579710144928,0.16666666666666666,0.09090909090909091,0.0,0.0,1.0,1,0,0,0,0,0,0,0.8846153846153847,0.02941176470588236,1,2,2,0.75
11,1,0.04638481529608317,0.595959595959596,0.005226480836236934,0.22535211267605634,0.042801556420233464,0.23404255319148937,0.034482758620689655,0.2318840579710145,0.16666666666666666,0.18181818181818182,0.0,0.23076923076923078,0.3684210526315789,0,0,0,0,0,0,0,0.3846153846153846,0.03743315508021391,0,2,0,0.25
13,3,0.6479951735659923,0.5353535353535354,0.2029616724738676,0.028169014084507043,0.20622568093385213,0.06382978723404255,0.1724137931034483,0.2028985507246377,0.5,0.5454545454545454,0.1111111111111111,0.38461538461538464,0.2631578947368421,0,0,0,0,0,0,0,0.8461538461538461,0.20387700534759362,0,1,2,0.5
14,2,0.16035130870614447,0.38383838383838387,0.002613240418118467,0.1971830985915493,0.06614785992217899,0.1276595744680851,0.034482758620689655,0.07246376811594203,0.16666666666666666,0.09090909090909091,0.0,0.23076923076923078,0.3684210526315789,0,0,0,0,0,0,0,0.17307692307692302,0.02740641711229947,0,2,0,0.25
16,2,0.44491368108409146,0.5151515151515152,0.046167247386759584,0.07042253521126761,0.07392996108949416,0.0425531914893617,0.4482758620689655,0.057971014492753624,0.5,0.2727272727272727,0.0,0.23076923076923078,0.3684210526315789,0,0,0,0,0,0,0,0.3076923076923077,0.0608288770053476,0,2,2,0.75
19,0,0.35165676628921483,0.8686868686868687,0.003484320557491289,0.23943661971830987,0.07392996108949416,0.6382978723404256,0.8275862068965517,0.5652173913043478,0.3333333333333333,0.18181818181818182,0.1111111111111111,0.23076923076923078,0.2631578947368421,0,0,0,0,0,0,0,0.21153846153846156,0.08556149732620322,0,1,1,0.25
22,4,0.6393284759606461,0.6363636363636365,0.7552264808362369,0.0,0.33463035019455256,0.0,0.0,0.2753623188405797,0.5,0.18181818181818182,0.3333333333333333,0.6923076923076923,0.3684210526315789,0,1,0,0,0,0,0,0.9038461538461539,0.6463903743315509,1,2,1,0.5
25,2,0.17503944681640993,0.8989898989898991,0.005226480836236934,0.056338028169014086,0.09727626459143969,0.3191489361702128,0.41379310344827586,0.18840579710144928,0.3333333333333333,0.18181818181818182,0.1111111111111111,0.23076923076923078,0.3157894736842105,0,0,0,0,0,0,0,0.5192307692307693,0.046791443850267386,0,1,0,0.0
26,2,0.5784411546315205,0.04040404040404041,0.15069686411149827,0.056338028169014086,0.11673151750972763,0.06382978723404255,0.20689655172413793,0.5942028985507246,0.6666666666666666,0.4545454545454546,0.1111111111111111,0.3076923076923077,0.3157894736842105,0,0,0,0,0,0,0,0.3846153846153846,0.16844919786096257,0,2,2,0.75
28,2,0.4044226842398368,0.26262626262626265,0.0313588850174216,0.028169014084507043,0.16342412451361868,0.425531914893617,0.7241379310344828,0.14492753623188406,0.3333333333333333,0.18181818181818182,0.1111111111111111,0.3076923076923077,0.10526315789473684,0,0,0,0,0,0,0,0.13461538461538458,0.08422459893048129,0,2,1,0.5
30,3,0.08674819008724712,0.3434343434343435,0.006968641114982578,0.056338028169014086,0.038910505836575876,0.0425531914893617,0.06896551724137931,0.057971014492753624,0.3333333333333333,0.2727272727272727,0.0,0.23076923076923078,0.21052631578947367,0,0,0,0,0,0,0,0.13461538461538458,0.01671122994652407,0,1,0,0.0
32,2,0.4298078708000744,0.31313131313131315,0.09581881533101046,0.0,0.019455252918287938,0.0425531914893617,0.0,0.043478260869565216,0.3333333333333333,0.18181818181818182,0.1111111111111111,0.3076923076923077,0.21052631578947367,0,1,0,0,0,0,0,0.5000000000000001,0.07687165775401071,1,2,1,0.5
33,4,0.5001392240579173,0.08080808080808081,0.08362369337979095,0.16901408450704225,0.3735408560311284,0.7021276595744681,0.7586206896551724,0.6231884057971014,1.0,0.36363636363636365,0.1111111111111111,0.46153846153846156,0.2631578947368421,0,0,0,0,0,0,1,0.8461538461538461,0.19852941176470593,1,1,2,0.5
35,3,0.5323811954705774,0.5555555555555556,0.03484320557491289,0.0,0.07392996108949416,0.0425531914893617,0.034482758620689655,0.043478260869565216,0.16666666666666666,0.18181818181818182,0.0,0.23076923076923078,0.3157894736842105,0,0,0,0,0,0,0,0.8653846153846153,0.04010695187165776,0,1,2,0.5
36,4,0.740799610172638,0.37373737373737376,0.6114982578397212,0.23943661971830987,0.5875486381322957,0.0,0.27586206896551724,0.5072463768115942,0.8333333333333333,0.4545454545454546,0.6666666666666666,0.9230769230769231,0.05263157894736842,0,0,0,0,0,0,0,0.5000000000000001,0.6069518716577541,0,2,1,0.5
37,0,0.23454612957118998,0.7676767676767677,0.005226480836236934,0.04225352112676056,0.054474708171206226,0.3191489361702128,0.24137931034482757,0.5217391304347826,0.5,0.2727272727272727,0.1111111111111111,0.15384615384615385,0.3157894736842105,0,0,0,0,0,0,0,0.3846153846153846,0.050802139037433164,0,2,1,0.5
38,2,0.45163124187859677,1.0,0.04790940766550523,0.0,0.023346303501945526,0.0425531914893617,0.0,0.057971014492753624,0.3333333333333333,0.09090909090909091,0.1111111111111111,0.23076923076923078,0.21052631578947367,0,0,0,0,0,0,0,0.4423076923076923,0.041443850267379685,0,1,1,0.25
41,3,0.19789539632448494,0.888888888888889,0.01132404181184669,0.014084507042253521,0.11284046692607004,0.06382978723404255,0.0,0.10144927536231885,0.3333333333333333,0.18181818181818182,0.0,0.23076923076923078,0.3684210526315789,0,0,0,0,0,0,0,0.21153846153846156,0.03208556149732621,0,2,1,0.5
42,2,0.21454427325041775,0.04040404040404041,0.0078397212543554,0.0,0.023346303501945526,0.06382978723404255,0.034482758620689655,0.043478260869565216,0.16666666666666666,0.0,0.0,0.23076923076923078,0.21052631578947367,0,0,0,0,0,0,0,0.7500000000000001,0.011363636363636366,0,2,1,0.5
44,3,0.04638481529608317,0.19191919191919193,0.002613240418118467,0.014084507042253521,0.038910505836575876,0.06382978723404255,0.06896551724137931,0.17391304347826086,0.5,0.18181818181818182,0.0,0.23076923076923078,0.21052631578947367,0,0,0,0,0,0,0,0.40384615384615385,0.01737967914438503,0,2,1,0.5
46,0,0.04638481529608317,0.24242424242424243,0.002613240418118467,0.2535211267605634,0.054474708171206226,0.3191489361702128,0.7586206896551724,0.7246376811594203,0.5,0.2727272727272727,0.1111111111111111,0.23076923076923078,0.42105263157894735,0,0,0,0,0,0,1,0.0,0.07820855614973263,1,2,0,0.25
47,2,0.44349823649526654,0.9292929292929294,0.01132404181184669,0.08450704225352113,0.058365758754863814,0.06382978723404255,0.1724137931034483,0.18840579710144928,0.16666666666666666,0.18181818181818182,0.0,0.15384615384615385,0.47368421052631576,0,0,0,0,0,0,0,0.5384615384615384,0.03342245989304814,0,2,1,0.5
52,2,0.37460553183590134,0.5454545454545455,0.010452961672473868,0.08450704225352113,0.07782101167315175,0.6382978723404256,0.034482758620689655,0.043478260869565216,0.3333333333333333,0.18181818181818182,0.0,0.23076923076923078,0.3157894736842105,0,0,0,0,0,0,0,0.3653846153846154,0.0447860962566845,0,1,1,0.25
57,2,0.2835065899387415,0.31313131313131315,0.01132404181184669,0.0,0.0311284046692607,0.0425531914893617,0.034482758620689655,0.07246376811594203,0.16666666666666666,0.09090909090909091,0.0,0.3076923076923077,0.10526315789473684,0,0,0,0,0,0,0,0.15384615384615385,0.016042780748663103,0,1,1,0.25
59,4,0.6085483571561167,0.6363636363636365,0.3893728222996516,0.0,0.10894941634241245,0.0,0.0,0.6231884057971014,0.5,0.7272727272727273,0.2222222222222222,0.46153846153846156,0.3157894736842105,0,0,0,0,0,0,0,0.5384615384615384,0.34291443850267384,0,2,1,0.5
61,2,0.7326782067941341,0.18181818181818182,0.39372822299651566,0.2535211267605634,0.39688715953307396,0.3404255319148936,0.6206896551724138,0.08695652173913043,0.6666666666666666,0.36363636363636365,0.2222222222222222,0.9230769230769231,0.10526315789473684,0,0,0,0,0,0,0,0.40384615384615385,0.40574866310160435,0,2,2,0.75
63,4,0.7445934657508818,0.08080808080808081,0.47560975609756095,0.0,0.1867704280155642,0.0,0.20689655172413793,0.08695652173913043,0.16666666666666666,0.6363636363636364,0.3333333333333333,0.6153846153846154,0.21052631578947367,0,0,0,0,0,0,0,0.8653846153846153,0.40173796791443855,0,1,1,0.25
65,2,0.2577849452385373,0.7575757575757577,0.0008710801393728223,0.04225352112676056,0.023346303501945526,0.06382978723404255,0.20689655172413793,0.21739130434782608,0.16666666666666666,0.09090909090909091,0.1111111111111111,0.15384615384615385,0.3157894736842105,0,0,0,0,0,0,1,0.4807692307692307,0.019385026737967916,1,2,1,0.5
66,2,0.33613328383144614,0.0,0.008710801393728223,0.0,0.0038910505836575876,0.0,0.0,0.0,0.16666666666666666,0.09090909090909091,0.0,0.15384615384615385,0.3157894736842105,0,0,0,0,0,0,0,0.5576923076923078,0.004010695187165777,0,2,2,0.75
73,4,0.6628109337293485,0.888888888888889,0.4921602787456446,0.08450704225352113,0.2529182879377432,0.0,0.20689655172413793,0.2753623188405797,0.8333333333333333,0.8181818181818182,0.2222222222222222,0.6153846153846154,0.3157894736842105,0,1,0,0,0,0,0,0.40384615384615385,0.43850267379679153,1,2,2,0.75
74,2,0.2880777798403565,0.5858585858585859,0.012195121951219513,0.14084507042253522,0.05058365758754864,0.0851063829787234,0.5172413793103449,0.13043478260869565,0.16666666666666666,0.18181818181818182,0.1111111111111111,0.3076923076923077,0.05263157894736842,0,0,0,0,0,0,0,0.8461538461538461,0.04010695187165776,0,2,0,0.25
75,2,0.4263040653424913,0.686868686868687,0.0017421602787456446,0.014084507042253521,0.023346303501945526,0.0425531914893617,0.034482758620689655,0.014492753623188406,0.16666666666666666,0.09090909090909091,0.0,0.15384615384615385,0.2631578947368421,0,0,0,0,0,0,0,0.3653846153846154,0.005347593582887702,0,1,1,0.25
78,0,0.26480415815852987,0.12121212121212122,0.0008710801393728223,0.0,0.019455252918287938,0.0,0.10344827586206896,0.13043478260869565,0.16666666666666666,0.0,0.0,0.23076923076923078,0.10526315789473684,0,0,0,0,0,1,0,0.3846153846153846,0.008689839572192515,0,2,0,0.25
79,2,0.6096157416001486,0.09090909090909091,0.5026132404181185,0.0,0.2490272373540856,0.0,0.0,0.7391304347826088,0.3333333333333333,0.9090909090909092,0.1111111111111111,0.6153846153846154,0.3684210526315789,1,0,0,0,0,0,1,0.5961538461538461,0.45922459893048134,2,2,0,0.25
80,2,0.30464544273250427,0.8787878787878789,0.05574912891986063,0.056338028169014086,0.26459143968871596,0.14893617021276595,0.1724137931034483,0.2463768115942029,0.6666666666666666,0.2727272727272727,0.1111111111111111,0.3076923076923077,0.3684210526315789,0,0,0,0,0,0,0,0.21153846153846156,0.10695187165775404,0,1,1,0.25
81,2,0.2645489140523483,0.05050505050505051,0.003484320557491289,0.014084507042253521,0.019455252918287938,0.0425531914893617,0.0,0.057971014492753624,0.16666666666666666,0.09090909090909091,0.0,0.15384615384615385,0.3157894736842105,0,0,0,0,0,0,0,0.5192307692307693,0.00735294117647059,0,2,1,0.5
82,0,0.23270141080378698,0.8787878787878789,0.02177700348432056,0.07042253521126761,0.07392996108949416,0.14893617021276595,0.0,0.3333333333333333,0.5,0.2727272727272727,0.0,0.23076923076923078,0.3157894736842105,0,0,0,0,0,0,0,0.4423076923076923,0.04946524064171124,0,2,1,0.5
85,2,0.3009328011880454,0.9595959595959597,0.014808362369337979,0.11267605633802817,0.054474708171206226,0.2127659574468085,0.13793103448275862,0.043478260869565216,0.3333333333333333,0.09090909090909091,0.0,0.3076923076923077,0.3157894736842105,0,0,0,0,0,0,0,0.6923076923076924,0.034090909090909095,0,2,2,0.75
86,3,0.37864302951550044,0.48484848484848486,0.1132404181184669,0.0,0.0622568093385214,0.0,0.0,0.07246376811594203,0.8333333333333333,0.2727272727272727,0.1111111111111111,0.3076923076923077,0.3157894736842105,0,1,0,0,0,0,0,0.5000000000000001,0.09759358288770056,1,2,2,0.75
87,2,0.543971598292185,0.030303030303030304,0.25435540069686413,0.08450704225352113,0.14396887159533073,0.0,0.10344827586206896,0.4927536231884058,0.6666666666666666,0.5454545454545454,0.1111111111111111,0.46153846153846156,0.3157894736842105,0,1,0,1,0,0,1,0.7500000000000001,0.2453208556149733,3,1,1,0.25
89,2,0.5879431965843699,0.797979797979798,0.11759581881533102,0.1267605633802817,0.15175097276264593,0.0851063829787234,0.0,0.10144927536231885,0.16666666666666666,0.18181818181818182,0.2222222222222222,0.38461538461538464,0.05263157894736842,0,0,0,0,0,0,0,0.5576923076923078,0.12633689839572193,0,2,1,0.5
93,3,0.4512251717096716,0.696969696969697,0.013066202090592335,0.028169014084507043,0.038910505836575876,0.0,0.034482758620689655,0.057971014492753624,0.16666666666666666,0.09090909090909091,0.0,0.23076923076923078,0.3157894736842105,0,0,0,0,0,0,0,0.46153846153846156,0.018048128342245992,0,1,1,0.25
94,4,0.23347874512715805,0.8484848484848485,0.023519163763066203,0.028169014084507043,0.054474708171206226,0.0,0.0,0.0,0.5,0.2727272727272727,0.1111111111111111,0.23076923076923078,0.21052631578947367,0,0,0,0,0,0,0,0.5000000000000001,0.025401069518716582,0,2,1,0.5
95,2,0.3085437163541861,0.30303030303030304,0.004355400696864111,0.04225352112676056,0.042801556420233464,0.2553191489361702,0.1724137931034483,0.13043478260869565,0.16666666666666666,0.18181818181818182,0.0,0.23076923076923078,0.2631578947368421,0,0,0,0,0,0,0,0.25,0.02673796791443851,0,2,1,0.5
97,2,0.5605044551698535,0.37373737373737376,0.04442508710801394,0.028169014084507043,0.027237354085603113,0.0,0.034482758620689655,0.028985507246376812,0.3333333333333333,0.18181818181818182,0.0,0.23076923076923078,0.3157894736842105,0,0,0,0,0,0,0,0.46153846153846156,0.03877005347593583,0,1,2,0.5
100,0,0.5142124559123817,0.0,0.046167247386759584,0.014084507042253521,0.019455252918287938,0.0425531914893617,0.034482758620689655,0.14492753623188406,0.3333333333333333,0.18181818181818182,0.0,0.23076923076923078,0.3684210526315789,0,0,0,0,0,0,0,0.6923076923076924,0.0447860962566845,0,1,1,0.25
101,4,0.3602654538704289,0.43434343434343436,0.03571428571428571,0.014084507042253521,0.023346303501945526,0.0425531914893617,0.0,0.07246376811594203,0.3333333333333333,0.18181818181818182,0.0,0.23076923076923078,0.2631578947368421,0,0,0,0,0,0,0,0.7115384615384616,0.03342245989304814,0,1,1,0.25
105,1,0.24470948579914614,0.9494949494949496,0.0008710801393728223,0.04225352112676056,0.023346303501945526,0.2127659574468085,0.0,0.13043478260869565,0.16666666666666666,0.09090909090909091,0.0,0.23076923076923078,0.21052631578947367,0,0,0,0,0,0,0,0.326923076923077,0.016042780748663103,0,2,1,0.5
106,2,0.5289818080564322,0.15151515151515152,0.1254355400696864,0.014084507042253521,0.1245136186770428,0.0425531914893617,0.034482758620689655,0.10144927536231885,0.6666666666666666,0.36363636363636365,0.1111111111111111,0.3076923076923077,0.3157894736842105,0,0,0,0,0,0,0,0.6153846153846153,0.1216577540106952,0,2,2,0.75
108,2,0.4067082791906443,0.17171717171717174,0.06620209059233449,0.04225352112676056,0.12062256809338522,0.0851063829787234,0.13793103448275862,0.391304347826087,0.3333333333333333,0.2727272727272727,0.1111111111111111,0.23076923076923078,0.3157894736842105,0,0,0,0,0,0,0,0.34615384615384615,0.09358288770053477,0,1,1,0.25
112,3,0.6240254315945797,0.27272727272727276,0.45905923344947736,0.0,0.08171206225680934,0.0,0.0,0.8695652173913043,0.5,0.7272727272727273,0.1111111111111111,0.6153846153846154,0.2631578947368421,0,1,0,0,0,0,0,0.6346153846153847,0.4030748663101605,1,2,1,0.5
113,2,0.9575714683497311,0.9595959595959597,0.4268292682926829,0.619718309859155,0.48638132295719844,0.6170212765957447,0.6896551724137931,0.31884057971014496,0.16666666666666666,0.5454545454545454,0.7777777777777777,0.8461538461538463,0.10526315789473684,0,1,1,0,0,0,1,0.09615384615384615,0.4846256684491979,3,1,0,0.0
115,2,0.5485775942082792,0.27272727272727276,0.05574912891986063,0.014084507042253521,0.08171206225680934,0.0,0.034482758620689655,0.391304347826087,0.3333333333333333,0.18181818181818182,0.1111111111111111,0.23076923076923078,0.2631578947368421,0,0,0,0,0,0,0,0.6538461538461539,0.07286096256684493,0,1,2,0.5
118,0,0.3161662335251532,0.8585858585858587,0.010452961672473868,0.07042253521126761,0.09727626459143969,0.0,0.3103448275862069,0.43478260869565216,0.3333333333333333,0.09090909090909091,0.1111111111111111,0.23076923076923078,0.21052631578947367,0,0,0,0,0,0,0,0.5576923076923078,0.050802139037433164,0,2,2,0.75
119,2,0.21366252088360876,0.37373737373737376,0.0008710801393728223,0.08450704225352113,0.027237354085603113,0.23404255319148937,0.1724137931034483,0.043478260869565216,0.3333333333333333,0.18181818181818182,0.0,0.23076923076923078,0.2631578947368421,0,0,0,0,0,0,0,0.5192307692307693,0.018716577540106954,0,2,1,0.5
121,3,0.33709625023204015,0.13131313131313133,0.029616724738675958,0.04225352112676056,0.11284046692607004,0.0,0.13793103448275862,0.14492753623188406,0.5,0.18181818181818182,0.1111111111111111,0.23076923076923078,0.21052631578947367,0,0,0,0,0,0,1,0.5576923076923078,0.050133689839572206,1,1,1,0.25
122,3,0.18572489326155564,0.6363636363636365,0.0078397212543554,0.0,0.027237354085603113,0.06382978723404255,0.13793103448275862,0.10144927536231885,0.3333333333333333,0.09090909090909091,0.0,0.23076923076923078,0.3157894736842105,0,0,0,0,0,0,0,0.21153846153846156,0.01671122994652407,0,2,2,0.75
